id,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,rows_id,rank
4562,courier_code,HY,HY,,,,,,,,,,,,,,,,,,,,1000
4563,courier_code,LOGISVALLEY,LOGISVALLEY,,,,,,,,,,,,,,,,,,,,1000
4564,courier_code,TODAY,TODAY,,,,,,,,,,,,,,,,,,,,1000
4565,courier_code,ONEDAYLOGIS,ONEDAYLOGIS,,,,,,,,,,,,,,,,,,,,1000
4566,courier_code,HKHOLDINGS,HKHOLDINGS,,,,,,,,,,,,,,,,,,,,1000
4567,courier_code,JIKGUMOON,JIKGUMOON,,,,,,,,,,,,,,,,,,,,1000
4568,courier_code,CUBEFLOW,CUBEFLOW,,,,,,,,,,,,,,,,,,,,1000
4569,courier_code,SUNGHUN DISTRIBUTION,SHFLY,,,,,,,,,,,,,,,,,,,,1000
4570,courier_code,GBS,GBS,,,,,,,,,,,,,,,,,,,,1000
4571,courier_code,BANPOOM,BANPOOM,,,,,,,,,,,,,,,,,,,,1000
4572,courier_code,HYUNDAI GLOVIS,GLOVIS,,,,,,,,,,,,,,,,,,,,1000
4573,courier_code,ARGO,ARGO,,,,,,,,,,,,,,,,,,,,1000
4574,courier_code,Deli Box,JMNP,,,,,,,,,,,,,,,,,,,,1000
4575,courier_code,Samsung Logitec,SELC,,,,,,,,,,,,,,,,,,,,1000
4576,courier_code,MT International,MTINTER,,,,,,,,,,,,,,,,,,,,1000
4577,courier_code,GOLD SNAPS,GDSP,,,,,,,,,,,,,,,,,,,,1000
4578,courier_code,TODAY PICKUP,TODAYPICKUP,,,,,,,,,,,,,,,,,,,,1000
4579,courier_code,YJS GLOBAL,YJSGLOBAL,,,,,,,,,,,,,,,,,,,,1000
4580,courier_code,EURO Parcel,DUXGLOBAL,,,,,,,,,,,,,,,,,,,,1000
4581,courier_code,INTER LOGIS,INTERLOGIS,,,,,,,,,,,,,,,,,,,,1000
4582,courier_code,WOOJIN INTER LOGIS,WOOJIN,,,,,,,,,,,,,,,,,,,,1000
4583,courier_code,WIDE TECH,WIDETECH,,,,,,,,,,,,,,,,,,,,1000
4584,courier_code,ECOHAI,ECOHAI,,,,,,,,,,,,,,,,,,,,1000
4585,courier_code,TONAMI,TONAMI,,,,,,,,,,,,,,,,,,,,1000
4586,courier_code,1st cargo,DAIICHI,,,,,,,,,,,,,,,,,,,,1000
4587,courier_code,FUKUYAMA Logistics,FUKUYAMA,,,,,,,,,,,,,,,,,,,,1000
4588,courier_code,KURLYNEXTMILE,KURLYNEXTMILE,,,,,,,,,,,,,,,,,,,,1000
4589,courier_code,ARAMEX,ARAMEX,,,,,,,,,,,,,,,,,,,,1000
4590,courier_code,BISNZ,BISNZ,,,,,,,,,,,,,,,,,,,,1000
4591,courier_code,INNOS,INNOS,,,,,,,,,,,,,,,,,,,,1000
4592,courier_code,SEORIM Logistics,SEORIM,,,,,,,,,,,,,,,,,,,,1000
4593,courier_code,WEMOVE,WEMOVE,,,,,,,,,,,,,,,,,,,,1000
4594,courier_code,POOLATHOME,POOLATHOME,,,,,,,,,,,,,,,,,,,,1000
4595,courier_code,SPARKLE Logistics,SPARKLE,,,,,,,,,,,,,,,,,,,,1000
